Time,Value,Unit,Property,time,t2m,sro,e,tp,swvl1
2023-06-17 02:00:00,21,cm,Daily mean water level,2023-06-17,288.71045,1.4901161e-08,-0.0035243973,1.7722696e-06,0.2569918
2023-06-18 02:00:00,21,cm,Daily mean water level,2023-06-18,291.3457,1.3441166e-07,-0.0033188756,2.1411179e-05,0.25305367
2023-06-19 02:00:00,21,cm,Daily mean water level,2023-06-19,291.10645,6.76733e-06,-0.0028072307,0.0010674843,0.24995697
2023-06-20 02:00:00,23,cm,Daily mean water level,2023-06-20,291.21704,7.2294904e-05,-0.0038902345,0.0073797405,0.25652784
2023-06-21 02:00:00,28,cm,Daily mean water level,2023-06-21,292.84302,1.1144677e-05,-0.0032340703,0.0015705265,0.33903533
2023-06-22 02:00:00,24,cm,Daily mean water level,2023-06-22,288.85425,0.00014472668,-0.0038069286,0.013354462,0.3399024
2023-06-23 02:00:00,24,cm,Daily mean water level,2023-06-23,287.83398,6.7540695e-06,-0.003997218,0.00077084196,0.46245295
2023-06-24 02:00:00,22,cm,Daily mean water level,2023-06-24,288.083,1.4901161e-08,-0.004419014,1.7225739e-06,0.41261727
2023-06-25 02:00:00,21,cm,Daily mean water level,2023-06-25,292.9414,1.4901161e-08,-0.0045481175,1.2851287e-06,0.37941545
2023-06-26 02:00:00,21,cm,Daily mean water level,2023-06-26,288.48242,2.3916828e-06,-0.0037514549,0.00035586464,0.35299432
2023-06-27 02:00:00,21,cm,Daily mean water level,2023-06-27,287.88306,5.241251e-09,-0.0035138302,9.1859937e-07,0.33678675
2023-06-28 02:00:00,20,cm,Daily mean water level,2023-06-28,287.56567,9.4648215e-08,-0.0025127265,1.5101817e-05,0.32044834
2023-06-29 02:00:00,20,cm,Daily mean water level,2023-06-29,289.74072,2.6292735e-05,-0.003279503,0.0035846161,0.3102035
2023-06-30 02:00:00,22,cm,Daily mean water level,2023-06-30,287.67603,0.00011454,-0.002568346,0.012088735,0.33467788
2023-07-01 02:00:00,37,cm,Daily mean water level,2023-07-01,288.12378,2.971633e-06,-0.0032495765,0.00042260508,0.44513124
2023-07-02 02:00:00,24,cm,Daily mean water level,2023-07-02,286.677,6.267842e-06,-0.0028847589,0.00089556165,0.40962744
2023-07-03 02:00:00,22,cm,Daily mean water level,2023-07-03,287.9978,2.6162033e-06,-0.0023166598,0.00038126996,0.3935585
2023-07-04 02:00:00,21,cm,Daily mean water level,2023-07-04,287.6267,1.3319269e-05,-0.0035728232,0.0018970168,0.378954
2023-07-05 02:00:00,23,cm,Daily mean water level,2023-07-05,285.86108,1.831021e-05,-0.0037750537,0.0021615354,0.37447953
2023-07-06 02:00:00,21,cm,Daily mean water level,2023-07-06,286.4856,2.099382e-06,-0.003303092,0.00031312555,0.374268
2023-07-07 02:00:00,20,cm,Daily mean water level,2023-07-07,290.29932,3.4881782e-09,-0.0040793866,1.4791522e-06,0.35720485
2023-07-08 02:00:00,20,cm,Daily mean water level,2023-07-08,294.4292,2.2452905e-06,-0.0032635417,0.000350839,0.3352418
2023-07-09 02:00:00,19,cm,Daily mean water level,2023-07-09,294.10327,1.0464532e-08,-0.0038685934,2.6874213e-06,0.32327545
2023-07-10 02:00:00,19,cm,Daily mean water level,2023-07-10,291.97754,3.9398874e-05,-0.0035490773,0.0046569966,0.30667824
